Generation,Max Fitness,Avg Fitness,Best Individual
0,0.42,0.251,"[8.737589095387477e-05, 0.0010861685134450634, 0.0006684315131611511, 0.00040215967187345896, 0.0006666723300470765, 0.9941431511930252, 0.001002023648990809, 0.0008106674004987077, 0.0007396211656114145, 0.00039372867239322013]"
1,0.42,0.2578000000000001,"[8.737589095387477e-05, 0.0010861685134450634, 0.0006684315131611511, 0.00040215967187345896, 0.0006666723300470765, 0.9941431511930252, 0.001002023648990809, 0.0008106674004987077, 0.0007396211656114145, 0.00039372867239322013]"
2,0.42,0.2626000000000001,"[8.737589095387477e-05, 0.0010861685134450634, 0.0006684315131611511, 0.00040215967187345896, 0.0006666723300470765, 0.9941431511930252, 0.001002023648990809, 0.0008106674004987077, 0.0007396211656114145, 0.00039372867239322013]"
3,0.42,0.26780000000000015,"[8.737589095387477e-05, 0.0010861685134450634, 0.0006684315131611511, 0.00040215967187345896, 0.0006666723300470765, 0.9941431511930252, 0.001002023648990809, 0.0008106674004987077, 0.0007396211656114145, 0.00039372867239322013]"
4,0.42,0.2728000000000001,"[8.737589095387477e-05, 0.0010861685134450634, 0.0006684315131611511, 0.00040215967187345896, 0.0006666723300470765, 0.9941431511930252, 0.001002023648990809, 0.0008106674004987077, 0.0007396211656114145, 0.00039372867239322013]"
5,0.42,0.2768000000000001,"[8.737589095387477e-05, 0.0010861685134450634, 0.0006684315131611511, 0.00040215967187345896, 0.0006666723300470765, 0.9941431511930252, 0.001002023648990809, 0.0008106674004987077, 0.0007396211656114145, 0.00039372867239322013]"
6,0.42,0.2828000000000001,"[8.737589095387477e-05, 0.0010861685134450634, 0.0006684315131611511, 0.00040215967187345896, 0.0006666723300470765, 0.9941431511930252, 0.001002023648990809, 0.0008106674004987077, 0.0007396211656114145, 0.00039372867239322013]"
7,0.42,0.2866,"[8.737589095387477e-05, 0.0010861685134450634, 0.0006684315131611511, 0.00040215967187345896, 0.0006666723300470765, 0.9941431511930252, 0.001002023648990809, 0.0008106674004987077, 0.0007396211656114145, 0.00039372867239322013]"
8,0.42,0.2926,"[8.737589095387477e-05, 0.0010861685134450634, 0.0006684315131611511, 0.00040215967187345896, 0.0006666723300470765, 0.9941431511930252, 0.001002023648990809, 0.0008106674004987077, 0.0007396211656114145, 0.00039372867239322013]"
9,0.42,0.298,"[8.737589095387477e-05, 0.0010861685134450634, 0.0006684315131611511, 0.00040215967187345896, 0.0006666723300470765, 0.9941431511930252, 0.001002023648990809, 0.0008106674004987077, 0.0007396211656114145, 0.00039372867239322013]"
10,0.42,0.3016,"[8.737589095387477e-05, 0.0010861685134450634, 0.0006684315131611511, 0.00040215967187345896, 0.0006666723300470765, 0.9941431511930252, 0.001002023648990809, 0.0008106674004987077, 0.0007396211656114145, 0.00039372867239322013]"
11,0.42,0.30699999999999994,"[8.737589095387477e-05, 0.0010861685134450634, 0.0006684315131611511, 0.00040215967187345896, 0.0006666723300470765, 0.9941431511930252, 0.001002023648990809, 0.0008106674004987077, 0.0007396211656114145, 0.00039372867239322013]"
12,0.42,0.31099999999999994,"[8.737589095387477e-05, 0.0010861685134450634, 0.0006684315131611511, 0.00040215967187345896, 0.0006666723300470765, 0.9941431511930252, 0.001002023648990809, 0.0008106674004987077, 0.0007396211656114145, 0.00039372867239322013]"
13,0.42,0.3152,"[8.737589095387477e-05, 0.0010861685134450634, 0.0006684315131611511, 0.00040215967187345896, 0.0006666723300470765, 0.9941431511930252, 0.001002023648990809, 0.0008106674004987077, 0.0007396211656114145, 0.00039372867239322013]"
14,0.42,0.3192,"[8.737589095387477e-05, 0.0010861685134450634, 0.0006684315131611511, 0.00040215967187345896, 0.0006666723300470765, 0.9941431511930252, 0.001002023648990809, 0.0008106674004987077, 0.0007396211656114145, 0.00039372867239322013]"
