Generation,Max Fitness,Avg Fitness,Best Individual
10,0.43,0.3966666666666666,"[0.00044646427977712994, 0.0004994694662436487, 0.0005575421538941749, 0.12568157843253674, 0.7027143713141203, 0.1168782871396035, 3.7931588311679e-05, 0.05269734283183083, 6.0128090564040944e-05, 0.0004268847031177516]"
11,0.43,0.39733333333333326,"[0.00044646427977712994, 0.0004994694662436487, 0.0005575421538941749, 0.12568157843253674, 0.7027143713141203, 0.1168782871396035, 3.7931588311679e-05, 0.05269734283183083, 6.0128090564040944e-05, 0.0004268847031177516]"
12,0.43,0.40133333333333326,"[0.00044646427977712994, 0.0004994694662436487, 0.0005575421538941749, 0.12568157843253674, 0.7027143713141203, 0.1168782871396035, 3.7931588311679e-05, 0.05269734283183083, 6.0128090564040944e-05, 0.0004268847031177516]"
13,0.43,0.40333333333333327,"[0.00044646427977712994, 0.0004994694662436487, 0.0005575421538941749, 0.12568157843253674, 0.7027143713141203, 0.1168782871396035, 3.7931588311679e-05, 0.05269734283183083, 6.0128090564040944e-05, 0.0004268847031177516]"
14,0.43,0.4066666666666666,"[0.00044646427977712994, 0.0004994694662436487, 0.0005575421538941749, 0.12568157843253674, 0.7027143713141203, 0.1168782871396035, 3.7931588311679e-05, 0.05269734283183083, 6.0128090564040944e-05, 0.0004268847031177516]"
15,0.43,0.40866666666666673,"[0.00044646427977712994, 0.0004994694662436487, 0.0005575421538941749, 0.12568157843253674, 0.7027143713141203, 0.1168782871396035, 3.7931588311679e-05, 0.05269734283183083, 6.0128090564040944e-05, 0.0004268847031177516]"
16,0.43,0.4113333333333334,"[0.00044646427977712994, 0.0004994694662436487, 0.0005575421538941749, 0.12568157843253674, 0.7027143713141203, 0.1168782871396035, 3.7931588311679e-05, 0.05269734283183083, 6.0128090564040944e-05, 0.0004268847031177516]"
17,0.43,0.41666666666666674,"[0.00044646427977712994, 0.0004994694662436487, 0.0005575421538941749, 0.12568157843253674, 0.7027143713141203, 0.1168782871396035, 3.7931588311679e-05, 0.05269734283183083, 6.0128090564040944e-05, 0.0004268847031177516]"
18,0.43,0.42066666666666674,"[0.00044646427977712994, 0.0004994694662436487, 0.0005575421538941749, 0.12568157843253674, 0.7027143713141203, 0.1168782871396035, 3.7931588311679e-05, 0.05269734283183083, 6.0128090564040944e-05, 0.0004268847031177516]"
19,0.43,0.42066666666666674,"[0.00044646427977712994, 0.0004994694662436487, 0.0005575421538941749, 0.12568157843253674, 0.7027143713141203, 0.1168782871396035, 3.7931588311679e-05, 0.05269734283183083, 6.0128090564040944e-05, 0.0004268847031177516]"
