Generation,Max Fitness,Avg Fitness,Best Individual
19,0.37,0.3539999999999999,"[0.029043541332540352, 0.057017052829979584, 0.08953077318555402, 0.15057024626799048, 0.18182447746717145, 0.18444382757527542, 0.12574501554476172, 0.03751353685030798, 0.01623736872770655, 0.12807416021871243]"
20,0.37,0.3566666666666666,"[0.029043541332540352, 0.057017052829979584, 0.08953077318555402, 0.15057024626799048, 0.18182447746717145, 0.18444382757527542, 0.12574501554476172, 0.03751353685030798, 0.01623736872770655, 0.12807416021871243]"
21,0.37,0.3579999999999999,"[0.029043541332540352, 0.057017052829979584, 0.08953077318555402, 0.15057024626799048, 0.18182447746717145, 0.18444382757527542, 0.12574501554476172, 0.03751353685030798, 0.01623736872770655, 0.12807416021871243]"
22,0.37,0.3579999999999999,"[0.029043541332540352, 0.057017052829979584, 0.08953077318555402, 0.15057024626799048, 0.18182447746717145, 0.18444382757527542, 0.12574501554476172, 0.03751353685030798, 0.01623736872770655, 0.12807416021871243]"
23,0.37,0.3579999999999999,"[0.029043541332540352, 0.057017052829979584, 0.08953077318555402, 0.15057024626799048, 0.18182447746717145, 0.18444382757527542, 0.12574501554476172, 0.03751353685030798, 0.01623736872770655, 0.12807416021871243]"
24,0.37,0.3579999999999999,"[0.029043541332540352, 0.057017052829979584, 0.08953077318555402, 0.15057024626799048, 0.18182447746717145, 0.18444382757527542, 0.12574501554476172, 0.03751353685030798, 0.01623736872770655, 0.12807416021871243]"
25,0.37,0.35933333333333317,"[0.029043541332540352, 0.057017052829979584, 0.08953077318555402, 0.15057024626799048, 0.18182447746717145, 0.18444382757527542, 0.12574501554476172, 0.03751353685030798, 0.01623736872770655, 0.12807416021871243]"
26,0.37,0.3606666666666666,"[0.029043541332540352, 0.057017052829979584, 0.08953077318555402, 0.15057024626799048, 0.18182447746717145, 0.18444382757527542, 0.12574501554476172, 0.03751353685030798, 0.01623736872770655, 0.12807416021871243]"
27,0.37,0.3606666666666666,"[0.029043541332540352, 0.057017052829979584, 0.08953077318555402, 0.15057024626799048, 0.18182447746717145, 0.18444382757527542, 0.12574501554476172, 0.03751353685030798, 0.01623736872770655, 0.12807416021871243]"
28,0.37,0.36199999999999993,"[0.029043541332540352, 0.057017052829979584, 0.08953077318555402, 0.15057024626799048, 0.18182447746717145, 0.18444382757527542, 0.12574501554476172, 0.03751353685030798, 0.01623736872770655, 0.12807416021871243]"
