Generation,Max Fitness,Avg Fitness,Best Individual
10,0.42,0.336,"[0.0008101432258927557, 0.0009063251483848944, 0.001011702435304567, 0.0004201625606139369, 0.001398334007709396, 0.9928740026925409, 0.0006537666438508935, 0.001041841712453106, 0.00010910697106751865, 0.0007746146021821162]"
11,0.42,0.3413333333333333,"[0.0008101432258927557, 0.0009063251483848944, 0.001011702435304567, 0.0004201625606139369, 0.001398334007709396, 0.9928740026925409, 0.0006537666438508935, 0.001041841712453106, 0.00010910697106751865, 0.0007746146021821162]"
12,0.42,0.36000000000000004,"[0.0008101432258927557, 0.0009063251483848944, 0.001011702435304567, 0.0004201625606139369, 0.001398334007709396, 0.9928740026925409, 0.0006537666438508935, 0.001041841712453106, 0.00010910697106751865, 0.0007746146021821162]"
13,0.42,0.3773333333333334,"[0.0008101432258927557, 0.0009063251483848944, 0.001011702435304567, 0.0004201625606139369, 0.001398334007709396, 0.9928740026925409, 0.0006537666438508935, 0.001041841712453106, 0.00010910697106751865, 0.0007746146021821162]"
14,0.42,0.3813333333333334,"[0.0008101432258927557, 0.0009063251483848944, 0.001011702435304567, 0.0004201625606139369, 0.001398334007709396, 0.9928740026925409, 0.0006537666438508935, 0.001041841712453106, 0.00010910697106751865, 0.0007746146021821162]"
15,0.42,0.3906666666666668,"[0.0008101432258927557, 0.0009063251483848944, 0.001011702435304567, 0.0004201625606139369, 0.001398334007709396, 0.9928740026925409, 0.0006537666438508935, 0.001041841712453106, 0.00010910697106751865, 0.0007746146021821162]"
16,0.42,0.40266666666666673,"[0.0008101432258927557, 0.0009063251483848944, 0.001011702435304567, 0.0004201625606139369, 0.001398334007709396, 0.9928740026925409, 0.0006537666438508935, 0.001041841712453106, 0.00010910697106751865, 0.0007746146021821162]"
17,0.42,0.41200000000000003,"[0.0008101432258927557, 0.0009063251483848944, 0.001011702435304567, 0.0004201625606139369, 0.001398334007709396, 0.9928740026925409, 0.0006537666438508935, 0.001041841712453106, 0.00010910697106751865, 0.0007746146021821162]"
18,0.42,0.4146666666666667,"[0.0008101432258927557, 0.0009063251483848944, 0.001011702435304567, 0.0004201625606139369, 0.001398334007709396, 0.9928740026925409, 0.0006537666438508935, 0.001041841712453106, 0.00010910697106751865, 0.0007746146021821162]"
19,0.42,0.4173333333333334,"[0.0008101432258927557, 0.0009063251483848944, 0.001011702435304567, 0.0004201625606139369, 0.001398334007709396, 0.9928740026925409, 0.0006537666438508935, 0.001041841712453106, 0.00010910697106751865, 0.0007746146021821162]"
20,0.42,0.4173333333333334,"[0.0008101432258927557, 0.0009063251483848944, 0.001011702435304567, 0.0004201625606139369, 0.001398334007709396, 0.9928740026925409, 0.0006537666438508935, 0.001041841712453106, 0.00010910697106751865, 0.0007746146021821162]"
21,0.42,0.42,"[0.0008101432258927557, 0.0009063251483848944, 0.001011702435304567, 0.0004201625606139369, 0.001398334007709396, 0.9928740026925409, 0.0006537666438508935, 0.001041841712453106, 0.00010910697106751865, 0.0007746146021821162]"
22,0.42,0.42,"[0.0008101432258927557, 0.0009063251483848944, 0.001011702435304567, 0.0004201625606139369, 0.001398334007709396, 0.9928740026925409, 0.0006537666438508935, 0.001041841712453106, 0.00010910697106751865, 0.0007746146021821162]"
23,0.42,0.42,"[0.0008101432258927557, 0.0009063251483848944, 0.001011702435304567, 0.0004201625606139369, 0.001398334007709396, 0.9928740026925409, 0.0006537666438508935, 0.001041841712453106, 0.00010910697106751865, 0.0007746146021821162]"
24,0.42,0.42,"[0.0008101432258927557, 0.0009063251483848944, 0.001011702435304567, 0.0004201625606139369, 0.001398334007709396, 0.9928740026925409, 0.0006537666438508935, 0.001041841712453106, 0.00010910697106751865, 0.0007746146021821162]"
25,0.42,0.42,"[0.0008101432258927557, 0.0009063251483848944, 0.001011702435304567, 0.0004201625606139369, 0.001398334007709396, 0.9928740026925409, 0.0006537666438508935, 0.001041841712453106, 0.00010910697106751865, 0.0007746146021821162]"
26,0.42,0.42,"[0.0008101432258927557, 0.0009063251483848944, 0.001011702435304567, 0.0004201625606139369, 0.001398334007709396, 0.9928740026925409, 0.0006537666438508935, 0.001041841712453106, 0.00010910697106751865, 0.0007746146021821162]"
27,0.42,0.42,"[0.0008101432258927557, 0.0009063251483848944, 0.001011702435304567, 0.0004201625606139369, 0.001398334007709396, 0.9928740026925409, 0.0006537666438508935, 0.001041841712453106, 0.00010910697106751865, 0.0007746146021821162]"
28,0.42,0.42,"[0.0008101432258927557, 0.0009063251483848944, 0.001011702435304567, 0.0004201625606139369, 0.001398334007709396, 0.9928740026925409, 0.0006537666438508935, 0.001041841712453106, 0.00010910697106751865, 0.0007746146021821162]"
29,0.42,0.42,"[0.0008101432258927557, 0.0009063251483848944, 0.001011702435304567, 0.0004201625606139369, 0.001398334007709396, 0.9928740026925409, 0.0006537666438508935, 0.001041841712453106, 0.00010910697106751865, 0.0007746146021821162]"
30,0.42,0.42,"[0.0008101432258927557, 0.0009063251483848944, 0.001011702435304567, 0.0004201625606139369, 0.001398334007709396, 0.9928740026925409, 0.0006537666438508935, 0.001041841712453106, 0.00010910697106751865, 0.0007746146021821162]"
31,0.42,0.42,"[0.0008101432258927557, 0.0009063251483848944, 0.001011702435304567, 0.0004201625606139369, 0.001398334007709396, 0.9928740026925409, 0.0006537666438508935, 0.001041841712453106, 0.00010910697106751865, 0.0007746146021821162]"
32,0.42,0.42,"[0.0008101432258927557, 0.0009063251483848944, 0.001011702435304567, 0.0004201625606139369, 0.001398334007709396, 0.9928740026925409, 0.0006537666438508935, 0.001041841712453106, 0.00010910697106751865, 0.0007746146021821162]"
33,0.42,0.42,"[0.0008101432258927557, 0.0009063251483848944, 0.001011702435304567, 0.0004201625606139369, 0.001398334007709396, 0.9928740026925409, 0.0006537666438508935, 0.001041841712453106, 0.00010910697106751865, 0.0007746146021821162]"
34,0.42,0.42,"[0.0008101432258927557, 0.0009063251483848944, 0.001011702435304567, 0.0004201625606139369, 0.001398334007709396, 0.9928740026925409, 0.0006537666438508935, 0.001041841712453106, 0.00010910697106751865, 0.0007746146021821162]"
35,0.42,0.42,"[0.0008101432258927557, 0.0009063251483848944, 0.001011702435304567, 0.0004201625606139369, 0.001398334007709396, 0.9928740026925409, 0.0006537666438508935, 0.001041841712453106, 0.00010910697106751865, 0.0007746146021821162]"
