Generation,Max Fitness,Avg Fitness,Best Individual
0,0.32,0.25066666666666676,"[0.00022285760844731323, 0.0003327897119803706, 0.0005453873766738019, 0.5223629082163013, 0.000300413055899125, 1.3103001760782432e-05, 5.2423945202198055e-05, 3.872819597906598e-05, 0.47575448339564264, 0.00037690549211348887]"
1,0.32,0.26933333333333337,"[0.00022285760844731323, 0.0003327897119803706, 0.0005453873766738019, 0.5223629082163013, 0.000300413055899125, 1.3103001760782432e-05, 5.2423945202198055e-05, 3.872819597906598e-05, 0.47575448339564264, 0.00037690549211348887]"
2,0.32,0.27866666666666673,"[0.00022285760844731323, 0.0003327897119803706, 0.0005453873766738019, 0.5223629082163013, 0.000300413055899125, 1.3103001760782432e-05, 5.2423945202198055e-05, 3.872819597906598e-05, 0.47575448339564264, 0.00037690549211348887]"
3,0.32,0.29466666666666674,"[0.00022285760844731323, 0.0003327897119803706, 0.0005453873766738019, 0.5223629082163013, 0.000300413055899125, 1.3103001760782432e-05, 5.2423945202198055e-05, 3.872819597906598e-05, 0.47575448339564264, 0.00037690549211348887]"
4,0.32,0.30533333333333335,"[0.00022285760844731323, 0.0003327897119803706, 0.0005453873766738019, 0.5223629082163013, 0.000300413055899125, 1.3103001760782432e-05, 5.2423945202198055e-05, 3.872819597906598e-05, 0.47575448339564264, 0.00037690549211348887]"
5,0.32,0.31333333333333335,"[0.00022285760844731323, 0.0003327897119803706, 0.0005453873766738019, 0.5223629082163013, 0.000300413055899125, 1.3103001760782432e-05, 5.2423945202198055e-05, 3.872819597906598e-05, 0.47575448339564264, 0.00037690549211348887]"
6,0.32,0.3186666666666666,"[0.00022285760844731323, 0.0003327897119803706, 0.0005453873766738019, 0.5223629082163013, 0.000300413055899125, 1.3103001760782432e-05, 5.2423945202198055e-05, 3.872819597906598e-05, 0.47575448339564264, 0.00037690549211348887]"
7,0.32,0.32,"[0.00022285760844731323, 0.0003327897119803706, 0.0005453873766738019, 0.5223629082163013, 0.000300413055899125, 1.3103001760782432e-05, 5.2423945202198055e-05, 3.872819597906598e-05, 0.47575448339564264, 0.00037690549211348887]"
8,0.32,0.32,"[0.00022285760844731323, 0.0003327897119803706, 0.0005453873766738019, 0.5223629082163013, 0.000300413055899125, 1.3103001760782432e-05, 5.2423945202198055e-05, 3.872819597906598e-05, 0.47575448339564264, 0.00037690549211348887]"
9,0.32,0.32,"[0.00022285760844731323, 0.0003327897119803706, 0.0005453873766738019, 0.5223629082163013, 0.000300413055899125, 1.3103001760782432e-05, 5.2423945202198055e-05, 3.872819597906598e-05, 0.47575448339564264, 0.00037690549211348887]"
10,0.32,0.32,"[0.00022285760844731323, 0.0003327897119803706, 0.0005453873766738019, 0.5223629082163013, 0.000300413055899125, 1.3103001760782432e-05, 5.2423945202198055e-05, 3.872819597906598e-05, 0.47575448339564264, 0.00037690549211348887]"
