Generation,Max Fitness,Avg Fitness,Best Individual
0,0.32,0.25066666666666676,"[0.00022285760844731323, 0.0003327897119803706, 0.0005453873766738019, 0.5223629082163013, 0.000300413055899125, 1.3103001760782432e-05, 5.2423945202198055e-05, 3.872819597906598e-05, 0.47575448339564264, 0.00037690549211348887]"
1,0.32,0.26933333333333337,"[0.00022285760844731323, 0.0003327897119803706, 0.0005453873766738019, 0.5223629082163013, 0.000300413055899125, 1.3103001760782432e-05, 5.2423945202198055e-05, 3.872819597906598e-05, 0.47575448339564264, 0.00037690549211348887]"
2,0.32,0.2853333333333334,"[0.00022285760844731323, 0.0003327897119803706, 0.0005453873766738019, 0.5223629082163013, 0.000300413055899125, 1.3103001760782432e-05, 5.2423945202198055e-05, 3.872819597906598e-05, 0.47575448339564264, 0.00037690549211348887]"
3,0.34,0.29866666666666675,"[0.00040221691581517136, 0.0006006241047830718, 0.0009843237127895705, 0.9427687900934985, 0.05027412755863708, 2.364850360219419e-05, 0.0015508104592664993, 0.0004562613529592156, 0.0022589523402294634, 0.0006802449584193882]"
4,0.34,0.3106666666666667,"[0.00040221691581517136, 0.0006006241047830718, 0.0009843237127895705, 0.9427687900934985, 0.05027412755863708, 2.364850360219419e-05, 0.0015508104592664993, 0.0004562613529592156, 0.0022589523402294634, 0.0006802449584193882]"
5,0.36,0.32,"[0.0003405301915157496, 0.0005085083033274067, 0.0008317644744394175, 0.796650103031342, 0.042563745115327054, 0.15653975446340213, 4.438385209019671e-05, 3.278857620168092e-05, 0.0019125040315230689, 0.0005759179608314226]"
6,0.36,0.32799999999999996,"[0.0003405301915157496, 0.0005085083033274067, 0.0008317644744394175, 0.796650103031342, 0.042563745115327054, 0.15653975446340213, 4.438385209019671e-05, 3.278857620168092e-05, 0.0019125040315230689, 0.0005759179608314226]"
7,0.36,0.332,"[0.0003405301915157496, 0.0005085083033274067, 0.0008317644744394175, 0.796650103031342, 0.042563745115327054, 0.15653975446340213, 4.438385209019671e-05, 3.278857620168092e-05, 0.0019125040315230689, 0.0005759179608314226]"
8,0.38,0.33866666666666667,"[0.00037957603884971377, 0.0004798842612275962, 0.0007849442727284705, 0.7518064968625252, 0.04016782272008883, 0.14772809791279234, 4.189242904435103e-05, 3.094803711950922e-05, 0.05793838364266998, 0.000641953822954008]"
9,0.38,0.34400000000000003,"[0.00037957603884971377, 0.0004798842612275962, 0.0007849442727284705, 0.7518064968625252, 0.04016782272008883, 0.14772809791279234, 4.189242904435103e-05, 3.094803711950922e-05, 0.05793838364266998, 0.000641953822954008]"
10,0.38,0.3493333333333333,"[0.00037957603884971377, 0.0004798842612275962, 0.0007849442727284705, 0.7518064968625252, 0.04016782272008883, 0.14772809791279234, 4.189242904435103e-05, 3.094803711950922e-05, 0.05793838364266998, 0.000641953822954008]"
