Generation,Max Fitness,Avg Fitness,Best Individual
0,0.4,0.2797000000000001,"[0.0009923410593604077, 0.05322636575918384, 0.011354231308440989, 0.22862517181875025, 0.2238302919358546, 0.07693168796494608, 0.07702053101458042, 0.02238603999891246, 0.2041661681648243, 0.10146717097514654]"
1,0.4,0.2833000000000001,"[0.0009923410593604077, 0.05322636575918384, 0.011354231308440989, 0.22862517181875025, 0.2238302919358546, 0.07693168796494608, 0.07702053101458042, 0.02238603999891246, 0.2041661681648243, 0.10146717097514654]"
2,0.4,0.2856000000000002,"[0.0009923410593604077, 0.05322636575918384, 0.011354231308440989, 0.22862517181875025, 0.2238302919358546, 0.07693168796494608, 0.07702053101458042, 0.02238603999891246, 0.2041661681648243, 0.10146717097514654]"
3,0.4,0.2881000000000002,"[0.0009923410593604077, 0.05322636575918384, 0.011354231308440989, 0.22862517181875025, 0.2238302919358546, 0.07693168796494608, 0.07702053101458042, 0.02238603999891246, 0.2041661681648243, 0.10146717097514654]"
4,0.4,0.2907000000000002,"[0.0009923410593604077, 0.05322636575918384, 0.011354231308440989, 0.22862517181875025, 0.2238302919358546, 0.07693168796494608, 0.07702053101458042, 0.02238603999891246, 0.2041661681648243, 0.10146717097514654]"
5,0.4,0.29340000000000016,"[0.0009923410593604077, 0.05322636575918384, 0.011354231308440989, 0.22862517181875025, 0.2238302919358546, 0.07693168796494608, 0.07702053101458042, 0.02238603999891246, 0.2041661681648243, 0.10146717097514654]"
6,0.4,0.29560000000000014,"[0.0009923410593604077, 0.05322636575918384, 0.011354231308440989, 0.22862517181875025, 0.2238302919358546, 0.07693168796494608, 0.07702053101458042, 0.02238603999891246, 0.2041661681648243, 0.10146717097514654]"
7,0.4,0.29740000000000016,"[0.0009923410593604077, 0.05322636575918384, 0.011354231308440989, 0.22862517181875025, 0.2238302919358546, 0.07693168796494608, 0.07702053101458042, 0.02238603999891246, 0.2041661681648243, 0.10146717097514654]"
8,0.4,0.30060000000000014,"[0.0009923410593604077, 0.05322636575918384, 0.011354231308440989, 0.22862517181875025, 0.2238302919358546, 0.07693168796494608, 0.07702053101458042, 0.02238603999891246, 0.2041661681648243, 0.10146717097514654]"
9,0.4,0.30320000000000014,"[0.0009923410593604077, 0.05322636575918384, 0.011354231308440989, 0.22862517181875025, 0.2238302919358546, 0.07693168796494608, 0.07702053101458042, 0.02238603999891246, 0.2041661681648243, 0.10146717097514654]"
10,0.4,0.30470000000000014,"[0.0009923410593604077, 0.05322636575918384, 0.011354231308440989, 0.22862517181875025, 0.2238302919358546, 0.07693168796494608, 0.07702053101458042, 0.02238603999891246, 0.2041661681648243, 0.10146717097514654]"
