Generation,Max Fitness,Avg Fitness,Best Individual
38,0.34,0.3399999999999999,"[0.00012751987153353234, 0.0002449887973994651, 0.000674377084401885, 0.5941602556377918, 0.0001512460497916589, 0.0007198385898624875, 0.0707666391743451, 0.07712021645012959, 0.18166031445415645, 0.07437460389058798]"
39,0.34,0.3399999999999999,"[0.00012751987153353234, 0.0002449887973994651, 0.000674377084401885, 0.5941602556377918, 0.0001512460497916589, 0.0007198385898624875, 0.0707666391743451, 0.07712021645012959, 0.18166031445415645, 0.07437460389058798]"
40,0.38,0.34266666666666656,"[0.0004170127057470792, 0.0002435426335479813, 0.0006703962502899446, 0.6644191800896051, 0.13818014743042387, 0.08767056599732845, 5.925014003625992e-05, 0.1065181439631646, 1.4809161848222899e-05, 0.0018069516280083795]"
41,0.38,0.34266666666666656,"[0.0004170127057470792, 0.0002435426335479813, 0.0006703962502899446, 0.6644191800896051, 0.13818014743042387, 0.08767056599732845, 5.925014003625992e-05, 0.1065181439631646, 1.4809161848222899e-05, 0.0018069516280083795]"
42,0.38,0.344,"[0.0004170127057470792, 0.0002435426335479813, 0.0006703962502899446, 0.6644191800896051, 0.13818014743042387, 0.08767056599732845, 5.925014003625992e-05, 0.1065181439631646, 1.4809161848222899e-05, 0.0018069516280083795]"
43,0.38,0.344,"[0.0004170127057470792, 0.0002435426335479813, 0.0006703962502899446, 0.6644191800896051, 0.13818014743042387, 0.08767056599732845, 5.925014003625992e-05, 0.1065181439631646, 1.4809161848222899e-05, 0.0018069516280083795]"
44,0.38,0.344,"[0.0004170127057470792, 0.0002435426335479813, 0.0006703962502899446, 0.6644191800896051, 0.13818014743042387, 0.08767056599732845, 5.925014003625992e-05, 0.1065181439631646, 1.4809161848222899e-05, 0.0018069516280083795]"
45,0.38,0.344,"[0.0004170127057470792, 0.0002435426335479813, 0.0006703962502899446, 0.6644191800896051, 0.13818014743042387, 0.08767056599732845, 5.925014003625992e-05, 0.1065181439631646, 1.4809161848222899e-05, 0.0018069516280083795]"
46,0.38,0.3466666666666666,"[0.0004170127057470792, 0.0002435426335479813, 0.0006703962502899446, 0.6644191800896051, 0.13818014743042387, 0.08767056599732845, 5.925014003625992e-05, 0.1065181439631646, 1.4809161848222899e-05, 0.0018069516280083795]"
47,0.38,0.3466666666666666,"[0.0004170127057470792, 0.0002435426335479813, 0.0006703962502899446, 0.6644191800896051, 0.13818014743042387, 0.08767056599732845, 5.925014003625992e-05, 0.1065181439631646, 1.4809161848222899e-05, 0.0018069516280083795]"
48,0.38,0.3466666666666666,"[0.0004170127057470792, 0.0002435426335479813, 0.0006703962502899446, 0.6644191800896051, 0.13818014743042387, 0.08767056599732845, 5.925014003625992e-05, 0.1065181439631646, 1.4809161848222899e-05, 0.0018069516280083795]"
49,0.38,0.3466666666666666,"[0.0004170127057470792, 0.0002435426335479813, 0.0006703962502899446, 0.6644191800896051, 0.13818014743042387, 0.08767056599732845, 5.925014003625992e-05, 0.1065181439631646, 1.4809161848222899e-05, 0.0018069516280083795]"
50,0.38,0.3466666666666666,"[0.0004170127057470792, 0.0002435426335479813, 0.0006703962502899446, 0.6644191800896051, 0.13818014743042387, 0.08767056599732845, 5.925014003625992e-05, 0.1065181439631646, 1.4809161848222899e-05, 0.0018069516280083795]"
51,0.38,0.3466666666666666,"[0.0004170127057470792, 0.0002435426335479813, 0.0006703962502899446, 0.6644191800896051, 0.13818014743042387, 0.08767056599732845, 5.925014003625992e-05, 0.1065181439631646, 1.4809161848222899e-05, 0.0018069516280083795]"
52,0.38,0.3493333333333333,"[0.0004170127057470792, 0.0002435426335479813, 0.0006703962502899446, 0.6644191800896051, 0.13818014743042387, 0.08767056599732845, 5.925014003625992e-05, 0.1065181439631646, 1.4809161848222899e-05, 0.0018069516280083795]"
53,0.38,0.3546666666666666,"[0.0004170127057470792, 0.0002435426335479813, 0.0006703962502899446, 0.6644191800896051, 0.13818014743042387, 0.08767056599732845, 5.925014003625992e-05, 0.1065181439631646, 1.4809161848222899e-05, 0.0018069516280083795]"
54,0.38,0.3559999999999999,"[0.0004170127057470792, 0.0002435426335479813, 0.0006703962502899446, 0.6644191800896051, 0.13818014743042387, 0.08767056599732845, 5.925014003625992e-05, 0.1065181439631646, 1.4809161848222899e-05, 0.0018069516280083795]"
