Generation,Max Fitness,Avg Fitness,Best Individual
0,0.41,0.2539000000000001,"[0.000731142136810852, 0.0006116680201158411, 0.0007070644163334874, 0.476591784123791, 1.8375279607163152e-06, 0.5196219932936876, 0.0005515379410975814, 0.000640495907913073, 0.0002516861534284682, 0.00029079047886116543]"
1,0.41,0.2607000000000001,"[0.000731142136810852, 0.0006116680201158411, 0.0007070644163334874, 0.476591784123791, 1.8375279607163152e-06, 0.5196219932936876, 0.0005515379410975814, 0.000640495907913073, 0.0002516861534284682, 0.00029079047886116543]"
2,0.41,0.2671000000000001,"[0.000731142136810852, 0.0006116680201158411, 0.0007070644163334874, 0.476591784123791, 1.8375279607163152e-06, 0.5196219932936876, 0.0005515379410975814, 0.000640495907913073, 0.0002516861534284682, 0.00029079047886116543]"
3,0.41,0.2698000000000001,"[0.000731142136810852, 0.0006116680201158411, 0.0007070644163334874, 0.476591784123791, 1.8375279607163152e-06, 0.5196219932936876, 0.0005515379410975814, 0.000640495907913073, 0.0002516861534284682, 0.00029079047886116543]"
4,0.41,0.27510000000000007,"[0.000731142136810852, 0.0006116680201158411, 0.0007070644163334874, 0.476591784123791, 1.8375279607163152e-06, 0.5196219932936876, 0.0005515379410975814, 0.000640495907913073, 0.0002516861534284682, 0.00029079047886116543]"
5,0.41,0.281,"[0.000731142136810852, 0.0006116680201158411, 0.0007070644163334874, 0.476591784123791, 1.8375279607163152e-06, 0.5196219932936876, 0.0005515379410975814, 0.000640495907913073, 0.0002516861534284682, 0.00029079047886116543]"
6,0.41,0.28669999999999995,"[0.000731142136810852, 0.0006116680201158411, 0.0007070644163334874, 0.476591784123791, 1.8375279607163152e-06, 0.5196219932936876, 0.0005515379410975814, 0.000640495907913073, 0.0002516861534284682, 0.00029079047886116543]"
7,0.41,0.29059999999999997,"[0.000731142136810852, 0.0006116680201158411, 0.0007070644163334874, 0.476591784123791, 1.8375279607163152e-06, 0.5196219932936876, 0.0005515379410975814, 0.000640495907913073, 0.0002516861534284682, 0.00029079047886116543]"
8,0.41,0.296,"[0.000731142136810852, 0.0006116680201158411, 0.0007070644163334874, 0.476591784123791, 1.8375279607163152e-06, 0.5196219932936876, 0.0005515379410975814, 0.000640495907913073, 0.0002516861534284682, 0.00029079047886116543]"
9,0.42,0.3011999999999999,"[0.0006722523627240986, 0.0005624012774304413, 0.0006501139799596729, 0.43820474405922194, 0.08078013581096502, 0.47753608253715485, 0.0005068670517444525, 0.0005886200174229668, 0.00023141411606400036, 0.0002673687873123674]"
10,0.42,0.3056999999999999,"[0.0006722523627240986, 0.0005624012774304413, 0.0006501139799596729, 0.43820474405922194, 0.08078013581096502, 0.47753608253715485, 0.0005068670517444525, 0.0005886200174229668, 0.00023141411606400036, 0.0002673687873123674]"
